fila_excel,columna,descripcion
106,linea_id,ID 3 no existe en lineas. Convertido a NULL.
107,Id_cliente,ID 105 no existe en clients. Convertido a NULL.
107,linea_id,ID 3 no existe en lineas. Convertido a NULL.
108,Id_cliente,ID 106 no existe en clients. Convertido a NULL.
108,linea_id,ID 3 no existe en lineas. Convertido a NULL.
109,Id_cliente,ID 107 no existe en clients. Convertido a NULL.
109,linea_id,ID 3 no existe en lineas. Convertido a NULL.
110,Id_cliente,ID 108 no existe en clients. Convertido a NULL.
110,linea_id,ID 3 no existe en lineas. Convertido a NULL.
111,Id_cliente,ID 109 no existe en clients. Convertido a NULL.
111,linea_id,ID 3 no existe en lineas. Convertido a NULL.
112,Id_cliente,ID 110 no existe en clients. Convertido a NULL.
112,linea_id,ID 3 no existe en lineas. Convertido a NULL.
113,Id_cliente,ID 111 no existe en clients. Convertido a NULL.
113,linea_id,ID 3 no existe en lineas. Convertido a NULL.
114,Id_cliente,ID 112 no existe en clients. Convertido a NULL.
114,linea_id,ID 3 no existe en lineas. Convertido a NULL.
115,Id_cliente,ID 113 no existe en clients. Convertido a NULL.
115,linea_id,ID 3 no existe en lineas. Convertido a NULL.
116,Id_cliente,ID 114 no existe en clients. Convertido a NULL.
116,linea_id,ID 3 no existe en lineas. Convertido a NULL.
117,Id_cliente,ID 115 no existe en clients. Convertido a NULL.
117,linea_id,ID 3 no existe en lineas. Convertido a NULL.
118,Id_cliente,ID 116 no existe en clients. Convertido a NULL.
118,linea_id,ID 3 no existe en lineas. Convertido a NULL.
119,Id_cliente,ID 117 no existe en clients. Convertido a NULL.
119,linea_id,ID 3 no existe en lineas. Convertido a NULL.
120,Id_cliente,ID 118 no existe en clients. Convertido a NULL.
120,linea_id,ID 3 no existe en lineas. Convertido a NULL.
121,Id_cliente,ID 119 no existe en clients. Convertido a NULL.
121,linea_id,ID 3 no existe en lineas. Convertido a NULL.
122,Id_cliente,ID 120 no existe en clients. Convertido a NULL.
122,linea_id,ID 3 no existe en lineas. Convertido a NULL.
123,Id_cliente,ID 121 no existe en clients. Convertido a NULL.
123,linea_id,ID 3 no existe en lineas. Convertido a NULL.
124,Id_cliente,ID 122 no existe en clients. Convertido a NULL.
